OBJECTID,NAME,OWNTYPE,SUBTYPEFIELD,FEATURECODE,FULLADDR,MUNICIPALITY,STATE,ZIP,CAPTUREMETH,LOCATIONTYPE,AGENCYURL,PHONE,last_edited_date,geometry,ConvertedX,ConvertedY
14,Kildeer Police Department,Municipal,740,Law Enforcement,21911 Quentin Rd,Kildeer,IL,60047-9301,Placed on Map,,https://villageofkildeer.com/police-department/,(847) 438-6644,1546871446000,"{'x': -88.05771102029074, 'y': 42.17409227923795}",-88.05771102029074,42.17409227923795
15,Lake Bluff Police Department,Municipal,740,Law Enforcement,45 E Center Ave,Lake Bluff,IL,60044-2525,Placed on Map,,https://www.lakebluff.org/,(847) 234-2153,1561492681000,"{'x': -87.84420409054617, 'y': 42.278454800065674}",-87.84420409054617,42.278454800065674
16,Lake Forest Police Department,Municipal,740,Law Enforcement,225 W Deerpath,Lake Forest,IL,60045,Placed on Map,,https://www.cityoflakeforest.com/city-government/departments/police/,(847) 234-2601,1561492681000,"{'x': -87.85281276988141, 'y': 42.2477104756066}",-87.85281276988141,42.2477104756066
17,Lake Villa Police Department,Municipal,740,Law Enforcement,65 Cedar Ave,Lake Villa,IL,60046-9072,Placed on Map,,https://www.lake-villa.org/police/,(847) 356-6106,1561492681000,"{'x': -88.08119122740788, 'y': 42.41614352117055}",-88.08119122740788,42.41614352117055
18,Lake Zurich Police Department,Municipal,740,Law Enforcement,200 Mohawk Trl,Lake Zurich,IL,60047-2449,Placed on Map,,https://lakezurich.org/,(847) 438-2349,1547214925000,"{'x': -88.08566311185912, 'y': 42.19408361980095}",-88.08566311185912,42.19408361980095
19,Libertyville Police Department,Municipal,740,Law Enforcement,200 E Cook Ave,Libertyville,IL,60048-2071,Placed on Map,,http://libertyville.com/,(847) 362-8310,1546871446000,"{'x': -87.95113001533419, 'y': 42.28803366233402}",-87.95113001533419,42.28803366233402
20,Lincolnshire Police Department,Municipal,740,Law Enforcement,1 Olde Half Day Rd,Lincolnshire,IL,60069-3053,Placed on Map,,https://www.lincolnshireil.gov/departments/police-department,(847) 883-9900,1558723424000,"{'x': -87.9263723320178, 'y': 42.200807449423856}",-87.9263723320178,42.200807449423856
21,Lindenhurst Police Department,Municipal,740,Law Enforcement,2300 E Grand Ave,Lindenhurst,IL,60046-7524,Placed on Map,,https://www.lindenhurstil.org/,(847) 356-5400,1561492681000,"{'x': -88.02609444376026, 'y': 42.40598050344526}",-88.02609444376026,42.40598050344526
22,Mundelein Police Department,Municipal,740,Law Enforcement,221 N Lake St,Mundelein,IL,60060-2205,Placed on Map,,http://www.mundelein.org/,(847) 968-4600,1546871446000,"{'x': -88.00339985108832, 'y': 42.266948577533164}",-88.00339985108832,42.266948577533164
23,North Chicago Police Department,Municipal,740,Law Enforcement,1850 Lewis Ave,North Chicago,IL,60064-2050,Placed on Map,,https://www.northchicago.org/police,(847) 596-8700,1561492681000,"{'x': -87.85672730988598, 'y': 42.32570987180844}",-87.85672730988598,42.32570987180844
24,Park City Police Department,Municipal,740,Law Enforcement,3355 W Belvidere Rd,Park City,IL,60085-6019,Placed on Map,,,(847) 662-2135,1546871446000,"{'x': -87.88365337897451, 'y': 42.347939729125535}",-87.88365337897451,42.347939729125535
25,Round Lake Beach Police Department,Municipal,740,Law Enforcement,1947 N Municipal Way,Round Lake,IL,60073-4915,Placed on Map,,http://www.villageofroundlakebeach.com/180/Police-Department,(847) 546-2127,1546871446000,"{'x': -88.06979348932124, 'y': 42.38360772559656}",-88.06979348932124,42.38360772559656
26,Round Lake Heights Police Department,Municipal,740,Law Enforcement,619 Pontiac Ct,Round Lake Heights,IL,60073-1328,Placed on Map,,http://villageofroundlakeheights.org/police.html,(847) 270-9111,1546871446000,"{'x': -88.09858995593419, 'y': 42.38149871376569}",-88.09858995593419,42.38149871376569
27,Round Lake Police Department,Municipal,740,Law Enforcement,741 W Townline Rd,Round Lake,IL,60073,Placed on Map,,https://www.eroundlake.com/notfound.aspx,(847) 546-8112,1561574114000,"{'x': -88.10095598095033, 'y': 42.32706770567547}",-88.10095598095033,42.32706770567547
28,Tower Lakes Police Department,Municipal,740,Law Enforcement,400 N IL Route 59,Tower Lakes,IL,60010-1217,Placed on Map,,http://www.towerlakes-il.gov/info/police-fire-911/,(847) 526-3800,1591030244000,"{'x': -88.1481425586338, 'y': 42.23325464881724}",-88.1481425586338,42.23325464881724
29,Vernon Hills Police Department,Municipal,740,Law Enforcement,740 Lakeview Pkwy,Vernon Hills,IL,60061-1834,Placed on Map,,https://www.vernonhills.org/193/Police-Department,(847) 362-4449,1561574114000,"{'x': -87.9595484126276, 'y': 42.237763135155205}",-87.9595484126276,42.237763135155205
30,Wauconda Police Department,Municipal,740,Law Enforcement,311 S Main St,Wauconda,IL,60084-1966,Placed on Map,,https://wauconda-il.gov/189/Police-Department,(847) 526-2421,1561492681000,"{'x': -88.13915971032148, 'y': 42.257795427176156}",-88.13915971032148,42.257795427176156
31,Waukegan Police Department,Municipal,740,Law Enforcement,106 N Martin Luther King Jr. Ave,Waukegan,IL,60085-4316,Placed on Map,,http://www.waukeganpd.com/,(847) 360-9000,1546871446000,"{'x': -87.8346406583708, 'y': 42.36116672207476}",-87.8346406583708,42.36116672207476
32,Winthrop Harbor Police Department,Municipal,740,Law Enforcement,830 Sheridan Rd,Winthrop Harbor,IL,60096-1632,Placed on Map,,http://www.whpd.org/,(847) 872-2131,1546871446000,"{'x': -87.82396688065647, 'y': 42.47953304573492}",-87.82396688065647,42.47953304573492
33,Zion Police Department,Municipal,740,Law Enforcement,2101 Salem Blvd,Zion,IL,60099-2254,Placed on Map,,https://www.cityofzion.com/police-department/,(847) 872-8000,1561574114000,"{'x': -87.84156395360425, 'y': 42.44940679344639}",-87.84156395360425,42.44940679344639
34,Riverwoods Police Department,Municipal,740,Law Enforcement,300 Portwine Rd,Riverwoods,IL,60015-3831,Placed on Map,,https://villageofriverwoods.com/public-safety/police,(847) 945-1130,1546871446000,"{'x': -87.89817265936723, 'y': 42.15819147018549}",-87.89817265936723,42.15819147018549
35,Gurnee Police Department,Municipal,740,Law Enforcement,100 N OPlaine Rd,Gurnee,IL,60031,Placed on Map,,https://www.gurnee.il.us/government/departments/police-department,(847) 599-7000,1561574114000,"{'x': -87.91543546470622, 'y': 42.36122513500955}",-87.91543546470622,42.36122513500955
36,Abbvie Fire Department - North Chicago,Private,740,Fire Station / EMS Station,1401 Sheridan Rd,North Chicago,IL,60064-1803,Placed on Map,,https://www.abbott.com/,(847) 937-3240,1561574114000,"{'x': -87.8347516012067, 'y': 42.3348028490879}",-87.8347516012067,42.3348028490879
37,Abbott Park Fire Department,Private,740,Fire Station / EMS Station,200 Abbott Park Rd Bldg J40,Abbott Park,IL,60064-3503,Placed on Map,,https://www.abbott.com/,(847) 937-2200,1561574114000,"{'x': -87.89587467005576, 'y': 42.3042628419125}",-87.89587467005576,42.3042628419125
38,Antioch Fire Department Station 1 (Main) / Rescue Squad,Municipal,740,Fire Station / EMS Station,835 Holbeck Dr,Antioch,IL,60002-1270,Placed on Map,,http://www.antiochfire.org/,(847) 395-5511,1546871446000,"{'x': -88.09906471915512, 'y': 42.4796818809681}",-88.09906471915512,42.4796818809681
39,Antioch Fire Department Station 2,Municipal,740,Fire Station / EMS Station,700 Deep Lake Rd,Antioch,IL,60002,Placed on Map,,http://www.antiochfire.org/,(847) 395-6572,1546871446000,"{'x': -88.06297373211079, 'y': 42.484538802529414}",-88.06297373211079,42.484538802529414
40,Antioch Fire Department Station 3,Municipal,740,Fire Station / EMS Station,24675 W Grass Lake Rd,Antioch,IL,60002,Placed on Map,,http://www.antiochfire.org/,(847) 395-2400,1546871446000,"{'x': -88.11528284670075, 'y': 42.447562814906725}",-88.11528284670075,42.447562814906725
41,Barrington Fire Department Station 1 (Main),Municipal,740,Fire Station / EMS Station,400 N Northwest Hwy,Barrington,IL,60010-3389,Placed on Map,,https://www.barrington-il.gov/government/departments/fire_department/index.php,(847) 304-3600,1561577370000,"{'x': -88.12917901878146, 'y': 42.157042616423716}",-88.12917901878146,42.157042616423716
42,Beach Park Fire Protection District,Municipal,740,Fire Station / EMS Station,3233 N Lewis Ave,Waukegan,IL,60087-2210,Placed on Map,,https://beachparkfd.org/,(847) 662-2642,1546871446000,"{'x': -87.85450756832735, 'y': 42.411681942123046}",-87.85450756832735,42.411681942123046
43,Buffalo Grove Fire Department Administration,Municipal,740,Fire Station / EMS Station,1051 Highland Grove Dr,Buffalo Grove,IL,60089-7026,Placed on Map,,https://www.vbg.org/your_government/village_services/fire_and_emergency_services,(847) 537-0995,1546871446000,"{'x': -87.95609866274766, 'y': 42.171215706675476}",-87.95609866274766,42.171215706675476
44,Buffalo Grove Fire Department Station 26,Municipal,740,Fire Station / EMS Station,109 Deerfield Pkwy,Buffalo Grove,IL,60089-7002,Placed on Map,,https://www.vbg.org/your_government/village_services/fire_and_emergency_services,(847) 520-3939,1546871446000,"{'x': -87.9556196945129, 'y': 42.17117104952309}",-87.9556196945129,42.17117104952309
45,Buffalo Grove Fire Department Station 27,Municipal,740,Fire Station / EMS Station,100 W Half Day Rd,Buffalo Grove,IL,60089-6552,Placed on Map,,https://www.vbg.org/your_government/village_services/fire_and_emergency_services,(847) 913-4543,1546871446000,"{'x': -87.96108351576886, 'y': 42.19650262721421}",-87.96108351576886,42.19650262721421
46,Countryside Fire Protection District Station 1,Municipal,740,Fire Station / EMS Station,801 S Midlothian Rd,Mundelein,IL,60060-2601,Placed on Map,,http://www.countrysidefire.com/,(847) 566-3080,1546871446000,"{'x': -88.02334070317255, 'y': 42.252290823583344}",-88.02334070317255,42.252290823583344
47,Countryside Fire Protection District Station 2,Municipal,740,Fire Station / EMS Station,600 N Deerpath Dr,Vernon Hills,IL,60061-1804,Placed on Map,,http://www.countrysidefire.com/,(847) 367-5511,1546871446000,"{'x': -87.96386685404855, 'y': 42.23788466545012}",-87.96386685404855,42.23788466545012
48,Deerfield-Bannockburn Fire Protection District Station 19,Municipal,740,Fire Station / EMS Station,1935 Half Day Rd,Bannockburn,IL,60015-1239,Placed on Map,,http://www.deerfieldbannockburnfire.org/,(847) 374-9773,1546871446000,"{'x': -87.87688115701566, 'y': 42.199615651616455}",-87.87688115701566,42.199615651616455
49,Deerfield-Bannockburn FPD Station 20 (Main),Municipal,740,Fire Station / EMS Station,500 Waukegan Rd,Deerfield,IL,60015-4373,Placed on Map,,http://www.deerfieldbannockburnfire.org/,(847) 945-4066,1546871446000,"{'x': -87.84295245348777, 'y': 42.16241993156076}",-87.84295245348777,42.16241993156076
50,Fox Lake Fire Department Station 1,Municipal,740,Fire Station / EMS Station,42 Ernest Ave,Fox Lake,IL,60020-1412,Placed on Map,,https://flfpd.org/,(847) 587-3311,1561574114000,"{'x': -88.1806837935441, 'y': 42.3984378344617}",-88.1806837935441,42.3984378344617
51,Fox Lake Fire Department Station 2 (Main),Municipal,740,Fire Station / EMS Station,306 Washington,Fox Lake,IL,60020-1802,Placed on Map,,https://flfpd.org/,(847) 587-3312,1561574114000,"{'x': -88.15502785602904, 'y': 42.38832885559942}",-88.15502785602904,42.38832885559942
52,Fox Lake Fire Department Station 3,Municipal,740,Fire Station / EMS Station,26603 W Molidor Rd,Ingleside,IL,60041-8911,Placed on Map,,https://flfpd.org/,(847) 587-3313,1561574114000,"{'x': -88.15172710162044, 'y': 42.34608374560309}",-88.15172710162044,42.34608374560309
53,Grayslake FPD Station 1 (Main),Municipal,740,Fire Station / EMS Station,160 Hawley St,Grayslake,IL,60030-1515,Placed on Map,,http://www.grayslakefire.com/,(847) 223-8960,1546871446000,"{'x': -88.04072994369284, 'y': 42.345664431134544}",-88.04072994369284,42.345664431134544
54,Great Lakes Fire Department Station 1,Municipal,740,Fire Station / EMS Station,2515 Sampson St Bldg 106,Great Lakes,IL,60088-2943,Placed on Map,,https://www.cnic.navy.mil/regions/cnrma/installations/ns_great_lakes.html,(847) 688-2135,1561574114000,"{'x': -87.83911518476731, 'y': 42.31401157935077}",-87.83911518476731,42.31401157935077
55,Great Lakes Fire Department Station 2,Municipal,740,Fire Station / EMS Station,2801 Ray St,Great Lakes,IL,60088-3148,Placed on Map,,https://www.cnic.navy.mil/regions/cnrma/installations/ns_great_lakes.html,(847) 688-4674,1561574114000,"{'x': -87.85207991888272, 'y': 42.309115852620714}",-87.85207991888272,42.309115852620714
56,Greater Round Lake FPD Station 1 (Main),Municipal,740,Fire Station / EMS Station,409 Nippersink Ave,Round Lake,IL,60073-3223,Placed on Map,,https://www.rlfire.org/,(847) 546-6001,1576510554000,"{'x': -88.09319591311456, 'y': 42.352369850817844}",-88.09319591311456,42.352369850817844
57,Greater Round Lake FPD Station 2,Municipal,740,Fire Station / EMS Station,1623 N Cedar Lake Rd,Round Lake Beach,IL,60073-1807,Placed on Map,,https://www.rlfire.org/,(847) 546-5755,1576510554000,"{'x': -88.08934021904929, 'y': 42.37819377243336}",-88.08934021904929,42.37819377243336
58,Greater Round Lake FPD Station 3,Municipal,740,Fire Station / EMS Station,861 Hook Rd,Round Lake Beach,IL,60073-1338,Placed on Map,,https://www.rlfire.org/,(847) 548-5755,1576510554000,"{'x': -88.06140187889126, 'y': 42.38306208648597}",-88.06140187889126,42.38306208648597
59,Gurnee Fire Department Station 1 (Main),Municipal,740,Fire Station / EMS Station,4580 Old Grand Ave,Gurnee,IL,60031-2813,Placed on Map,,https://www.gurnee.il.us/government/departments/fire-department/about/overview,(847) 244-8631,1561492681000,"{'x': -87.91619430127112, 'y': 42.37140111234404}",-87.91619430127112,42.37140111234404
60,Gurnee Fire Department Station 2,Municipal,740,Fire Station / EMS Station,6581 Dada Dr,Gurnee,IL,60031-5139,Placed on Map,,https://www.gurnee.il.us/government/departments/fire-department/about/overview,(847) 263-2250,1561492681000,"{'x': -87.96447867682562, 'y': 42.378934449599946}",-87.96447867682562,42.378934449599946
61,Highland Park Fire Department Station 32,Municipal,740,Fire Station / EMS Station,692 Burton Ave,Highland Park,IL,60035-4812,Placed on Map,,https://www.cityhpil.com/government/city_departments/fire/index.php,(847) 432-0802,1561492681000,"{'x': -87.78440534414011, 'y': 42.164994679288874}",-87.78440534414011,42.164994679288874
62,Highland Park Fire Department Station 33 (Main),Municipal,740,Fire Station / EMS Station,1130 Central Ave,Highland Park,IL,60035-3299,Placed on Map,,https://www.cityhpil.com/government/city_departments/fire/index.php,(847) 432-0801,1561492681000,"{'x': -87.81195988717782, 'y': 42.181229458696784}",-87.81195988717782,42.181229458696784
63,Highland Park Fire Department Station 34,Municipal,740,Fire Station / EMS Station,1100 Half Day Rd,Highland Park,IL,60035-1740,Placed on Map,,https://www.cityhpil.com/government/city_departments/fire/index.php,(847) 432-0804,1561492681000,"{'x': -87.82569610973063, 'y': 42.199210431474675}",-87.82569610973063,42.199210431474675
64,Highwood Fire Department,Municipal,740,Fire Station / EMS Station,428 Green Bay Rd,Highwood,IL,60040-1306,Placed on Map,,http://www.cityofhighwood.com/index.aspx?nid=182,(847) 432-7622,1546871446000,"{'x': -87.81175793332554, 'y': 42.204014199121815}",-87.81175793332554,42.204014199121815
65,Knollwood Fire Department,Municipal,740,Fire Station / EMS Station,14 N Skokie Hwy,Knollwood,IL,60044-1711,Placed on Map,,https://knollwoodfire.com/,(847) 295-6035,1561492681000,"{'x': -87.8711380163002, 'y': 42.28057086206918}",-87.8711380163002,42.28057086206918
66,Lake Bluff Fire Department,Municipal,740,Fire Station / EMS Station,45 E Center Ave,Lake Bluff,IL,60044-2525,Placed on Map,,https://www.lakebluff.org/,(847) 234-5158,1561492681000,"{'x': -87.84456755519835, 'y': 42.278490649904676}",-87.84456755519835,42.278490649904676
67,Lake Forest Fire Department Station 1 (Main),Municipal,740,Fire Station / EMS Station,255 W Deerpath Rd,Lake Forest,IL,60045-2104,Placed on Map,,https://www.cityoflakeforest.com/,(847) 615-4258,1561492681000,"{'x': -87.85281276988141, 'y': 42.2477104756066}",-87.85281276988141,42.2477104756066
68,Lake Forest Fire Department Station 2,Municipal,740,Fire Station / EMS Station,1111 Telegraph Rd,Lake Forest,IL,60045-3725,Placed on Map,,https://www.cityoflakeforest.com/,(847) 234-1140,1561492681000,"{'x': -87.87361804022082, 'y': 42.22076550643037}",-87.87361804022082,42.22076550643037
69,Lake Villa Volunteer Fire Department Station 1,Municipal,740,Fire Station / EMS Station,68 E Grand Ave,Lake Villa,IL,60046-9000,Placed on Map,,https://www.lake-villa.org/,(847) 356-2525,1561492681000,"{'x': -88.08094278124805, 'y': 42.41578496442003}",-88.08094278124805,42.41578496442003
70,Lake Villa Fire Protection District / Rescue Squad,Municipal,740,Fire Station / EMS Station,910 E Grand Ave,Lake Villa,IL,60046-7819,Placed on Map,,https://www.lakevillafpd.com/,(847) 356-7376,1561492681000,"{'x': -88.0598061718077, 'y': 42.41577185098854}",-88.0598061718077,42.41577185098854
71,Lake Zurich Fire / Rescue Station 1 (Main),Municipal,740,Fire Station / EMS Station,321 S Buesching Rd,Lake Zurich,IL,60047-2535,Placed on Map,,https://lakezurich.org/95/Fire-Rescue,(847) 540-5070,1561492681000,"{'x': -88.08285068523223, 'y': 42.19257349580322}",-88.08285068523223,42.19257349580322
72,Lake Zurich Fire / Rescue Station 2,Municipal,740,Fire Station / EMS Station,350 IL Route 22,North Barrington,IL,60010,Placed on Map,,https://lakezurich.org/95/Fire-Rescue,(847) 540-5094,1561492681000,"{'x': -88.1328505950444, 'y': 42.190981531768756}",-88.1328505950444,42.190981531768756
73,Lake Zurich Fire / Rescue Station 3,Municipal,740,Fire Station / EMS Station,1075 Old McHenry Rd,Lake Zurich,IL,60047-8428,Placed on Map,,https://lakezurich.org/95/Fire-Rescue,(847) 540-5073,1561492681000,"{'x': -88.06854132135848, 'y': 42.219695176112324}",-88.06854132135848,42.219695176112324
74,Lake Zurich Fire / Rescue Station 4,Municipal,740,Fire Station / EMS Station,21970 Field Pkwy,Deer Park,IL,60047,Placed on Map,,https://lakezurich.org/95/Fire-Rescue,(847) 540-3253,1561492681000,"{'x': -88.06218628869567, 'y': 42.15791384377484}",-88.06218628869567,42.15791384377484
75,Libertyville Fire Department Station 1 (Main),Municipal,740,Fire Station / EMS Station,1551 N Milwaukee Ave,Libertyville,IL,60048-1394,Placed on Map,,http://libertyville.com/,(847) 362-5664,1546871446000,"{'x': -87.95842352066927, 'y': 42.30092164085285}",-87.95842352066927,42.30092164085285
76,Libertyville Fire Department Station 2,Municipal,740,Fire Station / EMS Station,201 W Golf Rd,Libertyville,IL,60048-3233,Placed on Map,,http://libertyville.com/,(847) 918-2112,1546871446000,"{'x': -87.95498893435132, 'y': 42.269161230836396}",-87.95498893435132,42.269161230836396
77,Libertyville Fire Department Station 3,Municipal,740,Fire Station / EMS Station,13415 Atkinson Rd,Knollwood,IL,60044-1495,Placed on Map,,http://libertyville.com/,(847) 735-2220,1546871446000,"{'x': -87.89344129564783, 'y': 42.290299707575}",-87.89344129564783,42.290299707575
78,Lincolnshire/Riverwoods FPD Station 51 (Main),Municipal,740,Fire Station / EMS Station,115 Schelter Rd,Lincolnshire,IL,60069-3603,Placed on Map,,https://www.lincolnshireil.gov/,(847) 634-2512,1558722688000,"{'x': -87.93917448903312, 'y': 42.19468722164333}",-87.93917448903312,42.19468722164333
79,Lincolnshire/Riverwoods FPD Station 52,Municipal,740,Fire Station / EMS Station,855 Saunders Rd,Riverwoods,IL,60069,Placed on Map,,https://www.lincolnshireil.gov/,(847) 236-9416,1558722688000,"{'x': -87.88200430297991, 'y': 42.169571564330006}",-87.88200430297991,42.169571564330006
80,Long Grove Fire Department,Municipal,740,Fire Station / EMS Station,1165 Old McHenry Rd,Long Grove,IL,60047-5088,Placed on Map,,https://www.longgroveil.gov/,(847) 634-3035,1561577370000,"{'x': -87.99474985374162, 'y': 42.17746489840053}",-87.99474985374162,42.17746489840053
81,Mundelein Fire Department Station 1,Municipal,740,Fire Station / EMS Station,1000 N Midlothian Rd,Mundelein,IL,60060-1235,Placed on Map,,http://www.mundelein.org/,(847) 949-3260,1546871446000,"{'x': -88.01973932575748, 'y': 42.27879588781322}",-88.01973932575748,42.27879588781322
82,Mundelein Fire Department Station 2,Municipal,740,Fire Station / EMS Station,1300 S Lake St,Mundelein,IL,60060-4246,Placed on Map,,http://www.mundelein.org/,(847) 949-2158,1546871446000,"{'x': -87.99466132836362, 'y': 42.24595458094715}",-87.99466132836362,42.24595458094715
83,Newport Township Fire Protection Department,Municipal,740,Fire Station / EMS Station,39010 N Caroline Ave,Wadsworth,IL,60083-8923,Placed on Map,,https://newportfire.org/,(847) 336-1080,1561574114000,"{'x': -87.92758684260384, 'y': 42.429531861248094}",-87.92758684260384,42.429531861248094
84,North Chicago Fire Department Station 1 (Main),Municipal,740,Fire Station / EMS Station,1850 Lewis Ave,North Chicago,IL,60064-2050,Placed on Map,,https://www.northchicago.org/fire,(847) 596-8780,1561492681000,"{'x': -87.85672730988598, 'y': 42.32570987180844}",-87.85672730988598,42.32570987180844
85,North Chicago Fire Department Station 2,Municipal,740,Fire Station / EMS Station,3501 Buckley Rd,North Chicago,IL,60064,Placed on Map,,https://www.northchicago.org/fire,(847) 578-7432,1561492681000,"{'x': -87.88507055577685, 'y': 42.308322843342815}",-87.88507055577685,42.308322843342815
86,Wauconda Fire Protection District Station 1 (Main),Municipal,740,Fire Station / EMS Station,109 W Liberty St,Wauconda,IL,60084-2453,Placed on Map,,https://waucondafire.org/,(847) 526-2821,1561492681000,"{'x': -88.14019580111903, 'y': 42.25854318876778}",-88.14019580111903,42.25854318876778
87,Wauconda Fire Protection District Station 2,Municipal,740,Fire Station / EMS Station,404 E State Rd,Island Lake,IL,60042-9211,Placed on Map,,https://waucondafire.org/,(847) 526-4455,1561492681000,"{'x': -88.19229224136211, 'y': 42.271047919424944}",-88.19229224136211,42.271047919424944
88,Waukegan Fire Department Station 1 (Main),Municipal,740,Fire Station / EMS Station,1101 Belvidere St,Waukegan,IL,60085-6201,Placed on Map,,https://il-waukegan2.civicplus.com/114/Fire,(847) 249-5410,1561577370000,"{'x': -87.84527978177641, 'y': 42.35123135688475}",-87.84527978177641,42.35123135688475
89,Waukegan Fire Department Station 2,Municipal,740,Fire Station / EMS Station,4505 McGaw Rd,Waukegan,IL,60085,Placed on Map,,https://il-waukegan2.civicplus.com/114/Fire,(847) 599-2964,1561577370000,"{'x': -87.91232252107405, 'y': 42.33793884492068}",-87.91232252107405,42.33793884492068
90,Waukegan Fire Department Station 3,Municipal,740,Fire Station / EMS Station,216 N Lewis Ave,Waukegan,IL,60085-3564,Placed on Map,,https://il-waukegan2.civicplus.com/114/Fire,(847) 599-2684,1561577370000,"{'x': -87.8561274589567, 'y': 42.36349623568377}",-87.8561274589567,42.36349623568377
91,Waukegan Fire Department Station 4,Municipal,740,Fire Station / EMS Station,825 Golf Rd,Waukegan,IL,60087-4920,Placed on Map,,https://il-waukegan2.civicplus.com/114/Fire,(847) 599-2681,1561577370000,"{'x': -87.84140275451978, 'y': 42.38669118192616}",-87.84140275451978,42.38669118192616
92,Waukegan Fire Department Station 5,Municipal,740,Fire Station / EMS Station,3221 Green Bay Rd,Waukegan,IL,60087-1911,Placed on Map,,https://il-waukegan2.civicplus.com/114/Fire,(847) 596-5490,1561577370000,"{'x': -87.87723073012026, 'y': 42.411615263032765}",-87.87723073012026,42.411615263032765
93,Winthrop Harbor Fire Department,Municipal,740,Fire Station / EMS Station,830 Sheridan Rd,Winthrop Harbor,IL,60096-1632,Placed on Map,,http://www.winthropharbor.com/,(847) 872-5957,1561577370000,"{'x': -87.82396688065647, 'y': 42.47953304573492}",-87.82396688065647,42.47953304573492
